"","X1","committee_name","contributor_occupation","college"
"9206",9206,"ACTBLUE","PROFESSOR","AdelphiU"
"9207",9207,"ACTBLUE","LAW PROFESSOR","CornellU"
"9208",9208,"ACTBLUE","PROFESSOR","CornellU"
"9209",9209,"ACTBLUE","PROFESSOR","HamiltonC"
"9210",9210,"ACTBLUE","RETIRED","CornellU"
"9211",9211,"ACTBLUE","GRADUATE STUDENT","RPI"
"9212",9212,"ACTBLUE","HUMAN RESOURCES RPI","RPI"
"9213",9213,"ACTBLUE","PROFESSOR","CornellU"
"9214",9214,"ACTBLUE","PROFESSOR","CornellU"
"9215",9215,"ACTBLUE","PROFESSOR","CornellU"
"9216",9216,"ACTBLUE","PROFESSOR","CornellU"
"9217",9217,"ACTBLUE","COLLEGE PROFESSOR","SUNYGeneseo"
"9218",9218,"ACTBLUE","PROFESSOR","CornellU"
"9219",9219,"ACTBLUE","LIBRARY ASSISTANT","CornellU"
"9220",9220,"ACTBLUE","ASSOCIATE DEAN, AAD","CornellU"
"9221",9221,"ACTBLUE","FACULTY","CornellU"
"9222",9222,"ACTBLUE","PROFESSOR","CornellU"
"9223",9223,"ACTBLUE","PROFESSOR","SUNYGeneseo"
"9224",9224,"ACTBLUE","PROFESSOR","SUNYGeneseo"
"9225",9225,"TAMMY BALDWIN FOR SENATE","PROFESSOR","CornellU"
"9226",9226,"TAMMY BALDWIN FOR SENATE","PROFESSOR","CornellU"
"9227",9227,"TAMMY BALDWIN FOR SENATE","PROFESSOR","CornellU"
"9228",9228,"TAMMY BALDWIN FOR SENATE","LIBRARY ASSISTANT","CornellU"
"9229",9229,"TAMMY BALDWIN FOR SENATE","PROFESSOR","AdelphiU"
"9230",9230,"ACTBLUE","COMMUNICATIONS DIRECTOR","CornellU"
"9231",9231,"ACTBLUE","PROFESSOR","RPI"
"9232",9232,"TAMMY BALDWIN FOR SENATE","PROFESSOR","CornellU"
"9233",9233,"TAMMY BALDWIN FOR SENATE","PROFESSOR","CornellU"
"9234",9234,"ACTBLUE","TEACHER/COACH","AdelphiU"
"9235",9235,"ACTBLUE","EXEC DIRECTOR","CornellU"
"9236",9236,"ACTBLUE","PROFESSOR","CornellU"
"9237",9237,"TAMMY BALDWIN FOR SENATE","PROFESSOR","CornellU"
"9238",9238,"ACTBLUE","RESEARCH SUPPORT SPECIALIST","CornellU"
"9239",9239,"TAMMY BALDWIN FOR SENATE","PROFESSOR","CornellU"
"9240",9240,"TAMMY BALDWIN FOR SENATE","PROFESSOR","CornellU"
"9241",9241,"ACTBLUE","OPERATIONS SPECIALIST","RPI"
"9242",9242,"TAMMY BALDWIN FOR SENATE","PROFESSOR","CornellU"
"9243",9243,"ACTBLUE","PROFESSOR","CornellU"
"9244",9244,"ACTBLUE","RETIRED","CornellU"
"9245",9245,"ACTBLUE","RETIRED","CornellU"
"9246",9246,"ACTBLUE","PROFESSOR","CornellU"
"9247",9247,"ACTBLUE","PROFESSOR","CornellU"
"9248",9248,"ACTBLUE","DIRECTOR OF CS LABS","HamiltonC"
"9249",9249,"ACTBLUE","STUDENT","MolloyC"
"9250",9250,"ACTBLUE","STUDENT","RPI"
"9251",9251,"ACTBLUE","PROFESSOR","HamiltonC"
"9252",9252,"ACTBLUE","INVENTORY MANAGEMENT","CornellU"
"9253",9253,"ACTBLUE","AGRIC. EXT. SPECIALIST","CornellU"
"9254",9254,"ACTBLUE","TEACHER","CornellU"
"9255",9255,"ACTBLUE","PROFESSOR","SUNYGeneseo"
"9256",9256,"RYAN FOR CONGRESS, INC.","RETIRED","CornellU"
"9257",9257,"ACTBLUE","TEACHER","CornellU"
"9258",9258,"ACTBLUE","ENGINEER","CornellU"
"9259",9259,"ACTBLUE","GARDENER","CornellU"
"9260",9260,"ACTBLUE","PROFESSOR","SUNYGeneseo"
"9261",9261,"ACTBLUE","PROFESSOR","CornellU"
"9262",9262,"ACTBLUE","SECRETARY","CornellU"
"9263",9263,"ACTBLUE","PROFESSOR","CornellU"
"9264",9264,"ACTBLUE","PROFESSOR","CornellU"
"9265",9265,"ACTBLUE","PROFESSOR","CornellU"
"9266",9266,"EMILY'S LIST","PROFESSOR","CornellU"
"9267",9267,"ACTBLUE","STUDENT","CornellU"
"9268",9268,"ACTBLUE","EDUCATOR","RPI"
"9269",9269,"ACTBLUE","EDUCATOR","AdelphiU"
"9270",9270,"EMILY'S LIST","PROFESSOR","CornellU"
"9271",9271,"ACTBLUE","ASSISTANT PROFESSOR","CornellU"
"9272",9272,"ACTBLUE","PSYCHOLOGIST","AdelphiU"
"9273",9273,"ACTBLUE","ATTORNEY","CornellU"
"9274",9274,"TOM REED FOR CONGRESS","PROF. EMERITUS","CornellU"
"9275",9275,"ACTBLUE","EXEC DIRECTOR","CornellU"
"9276",9276,"ACTBLUE","GRADUATE STUDENT","CornellU"
"9277",9277,"ACTBLUE","GRADUATE STUDENT","CornellU"
"9278",9278,"ACTBLUE","GRADUATE STUDENT","CornellU"
"9279",9279,"ACTBLUE","PROFESSOR","CornellU"
"9280",9280,"ACTBLUE","COMPUTER CONSULTANT","CornellU"
"9281",9281,"ACTBLUE","UNIV ADMIN","CornellU"
"9282",9282,"ACTBLUE","UNIV ADMIN","CornellU"
"9283",9283,"ACTBLUE","PROFESSOR","CornellU"
"9284",9284,"ACTBLUE","PROFESSOR","CornellU"
"9285",9285,"ACTBLUE","WEB DEVELOPER","CornellU"
"9286",9286,"ACTBLUE","EDUCATOR","CornellU"
"9287",9287,"ACTBLUE","STUDENT","CornellU"
