"","X1","committee_name","contributor_occupation","college"
"8584",8584,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8585",8585,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8586",8586,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8587",8587,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8588",8588,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8589",8589,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8590",8590,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8591",8591,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8592",8592,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8593",8593,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8594",8594,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8595",8595,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8596",8596,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8597",8597,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8598",8598,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8599",8599,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8600",8600,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8601",8601,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8602",8602,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8603",8603,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8604",8604,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8605",8605,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8606",8606,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8607",8607,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8608",8608,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8609",8609,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8610",8610,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8611",8611,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8612",8612,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8613",8613,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8614",8614,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8615",8615,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8616",8616,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8617",8617,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8618",8618,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8619",8619,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8620",8620,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8621",8621,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8622",8622,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8623",8623,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8624",8624,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8625",8625,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8626",8626,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8627",8627,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8628",8628,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8629",8629,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8630",8630,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8631",8631,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8632",8632,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8633",8633,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8634",8634,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8635",8635,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8636",8636,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
